         1779209508 function calls (1750339563 primitive calls) in 579.546 seconds

   Ordered by: cumulative time
   List reduced from 802 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2717701    4.193    0.000 1183.304    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:611(_chain_from_iterable_of_lists)
        1    1.905    1.905  579.546  579.546 /Users/bytedance/Desktop/code/assignment1-basics/cs336_basics/bpe.py:112(train_bpe)
        1    0.139    0.139  521.519  521.519 /Users/bytedance/Desktop/code/assignment1-basics/cs336_basics/bpe.py:77(_pretokenize_parallel)
        1    0.000    0.000  518.155  518.155 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/_base.py:646(__exit__)
        1    0.000    0.000  518.155  518.155 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:837(shutdown)
      2/1    0.380    0.190  518.155  518.155 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/threading.py:1058(join)
      2/1    0.000    0.000  518.122  518.122 {method 'join' of '_thread._ThreadHandle' objects}
      2/1    0.000    0.000  518.122  518.122 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/threading.py:1000(_bootstrap)
      2/1    0.000    0.000  518.122  518.122 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/threading.py:1027(_bootstrap_inner)
        1    0.000    0.000  518.122  518.122 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:330(run)
        1    0.000    0.000  518.122  518.122 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:549(join_executor_internals)
        1    0.000    0.000  518.122  518.122 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:553(_join_executor_internals)
       21    0.000    0.000  518.072   24.670 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/util.py:197(__call__)
        1    0.000    0.000  518.071  518.071 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/queues.py:145(join_thread)
  2717701    5.555    0.000  444.267    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
  2717705    8.840    0.000  330.233    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:405(wait_result_broken_or_wakeup)
        1    0.000    0.000  204.931  204.931 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/queues.py:212(_finalize_join)
  8153111   21.294    0.000  192.134    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:1134(wait)
  5435406    3.242    0.000  114.705    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:253(poll)
  2717705    1.187    0.000   97.234    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:91(clear)
  5435406    2.503    0.000   93.589    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:439(_poll)
  5435401    4.825    0.000   85.020    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:429(_recv_bytes)
 48918541   19.222    0.000   80.760    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/selectors.py:340(register)
  2717701    1.653    0.000   78.521    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:208(recv_bytes)
  5435401   37.471    0.000   74.555    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/collections/__init__.py:673(update)
  2717700    3.036    0.000   69.658    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:246(recv)
  2717700    4.216    0.000   65.749    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/process.py:783(submit)
  2717700    4.655    0.000   60.064    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
 48918541   21.130    0.000   55.646    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/selectors.py:238(register)
 10870802    8.956    0.000   53.710    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.13/multiprocessing/connection.py:390(_recv)


